img,nKeypoints,nTotalKeypoints,tDetection,tDescription,sizeKeypoints,nMatches
../images/KITTI/2011_09_26/image_00/data/0000000001.png,12,69,121.162300,34.531400,[6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;],9
../images/KITTI/2011_09_26/image_00/data/0000000002.png,20,137,115.981100,35.157100,[6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;],12
../images/KITTI/2011_09_26/image_00/data/0000000003.png,22,114,200.581700,26.934900,[6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;],18
../images/KITTI/2011_09_26/image_00/data/0000000004.png,22,102,108.894200,33.534100,[6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;],19
../images/KITTI/2011_09_26/image_00/data/0000000005.png,18,95,102.199600,27.372700,[6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;],19
../images/KITTI/2011_09_26/image_00/data/0000000006.png,13,59,189.121500,36.495700,[6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;],14
../images/KITTI/2011_09_26/image_00/data/0000000007.png,23,117,110.872400,31.014500,[6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;],12
../images/KITTI/2011_09_26/image_00/data/0000000008.png,21,120,163.543100,32.806300,[6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;],21
../images/KITTI/2011_09_26/image_00/data/0000000009.png,19,92,114.649000,34.992400,[6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;],19
