img,nKeypoints,nTotalKeypoints,tDetection,tDescription,sizeKeypoints,nMatches
../images/KITTI/2011_09_26/image_00/data/0000000001.png,157,1327,476.599100,122.168900,[4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;13.576450;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;22.832775;22.832775;],134
../images/KITTI/2011_09_26/image_00/data/0000000002.png,161,1311,500.876400,113.141900,[4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;6.788225;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;22.832775;22.832775;],134
../images/KITTI/2011_09_26/image_00/data/0000000003.png,155,1351,511.117800,130.919600,[4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;6.788225;6.788225;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;13.576450;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;22.832775;],130
../images/KITTI/2011_09_26/image_00/data/0000000004.png,163,1360,501.228500,123.076300,[4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;6.788225;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;22.832775;],136
../images/KITTI/2011_09_26/image_00/data/0000000005.png,164,1347,486.823400,129.566000,[4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;6.788225;6.788225;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;13.576450;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;22.832775;],137
../images/KITTI/2011_09_26/image_00/data/0000000006.png,173,1363,449.913800,116.966900,[4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;6.788225;6.788225;6.788225;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;22.832775;],147
../images/KITTI/2011_09_26/image_00/data/0000000007.png,175,1331,427.702300,171.089700,[4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;6.788225;6.788225;6.788225;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;22.832775;],147
../images/KITTI/2011_09_26/image_00/data/0000000008.png,177,1358,553.618000,132.690200,[4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;6.788225;6.788225;6.788225;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;22.832775;],154
../images/KITTI/2011_09_26/image_00/data/0000000009.png,179,1331,442.606500,121.063000,[4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;6.788225;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;22.832775;22.832775;],151
