img,nKeypoints,nTotalKeypoints,tDetection,tDescription,sizeKeypoints,nMatches
../images/KITTI/2011_09_26/image_00/data/0000000001.png,282,2777,198.114000,65.807500,[16.548388;13.233167;11.386364;9.230769;12.100000;11.850000;11.093023;12.380177;12.041096;8.400000;8.400000;11.819277;14.671232;11.676924;12.625000;12.823530;13.400000;12.767443;13.743629;11.181818;8.400000;13.304348;12.157894;12.882353;12.639356;12.620690;15.387096;13.000000;8.400000;12.415384;10.029851;11.965517;12.559471;11.608696;14.058824;13.669603;13.201765;10.527273;13.701822;13.000000;11.675159;11.475454;13.105263;13.554216;12.937500;11.871428;12.307693;12.411764;11.210526;11.920354;12.683168;12.960001;9.000000;11.357143;8.750000;13.183099;15.000000;11.356503;11.057142;11.985646;10.428572;11.651163;10.615423;12.458824;13.813187;8.400000;12.000000;11.689655;13.250000;8.400000;10.578947;14.522852;13.227273;14.189189;10.692235;11.000000;12.152542;11.709678;12.294117;13.161291;12.176471;12.176471;13.615385;12.360000;9.545455;13.769231;13.697107;10.000000;14.555555;11.657469;8.684210;12.240000;12.103449;12.894965;12.380281;12.147541;12.452055;11.138624;12.413793;12.905325;12.681969;12.705883;13.256874;11.989369;10.909091;10.636364;11.823529;12.000000;13.480314;13.701155;11.020954;13.894737;11.705883;16.832582;14.881579;17.785713;15.551020;11.814815;13.464000;14.672728;14.243439;13.951558;8.400000;13.058823;10.621621;11.756757;12.308372;14.138480;13.362141;12.454545;11.507463;9.200000;12.240000;11.294118;10.347355;11.368422;11.812500;10.538462;18.272728;12.000000;15.679573;15.964219;12.000000;15.927252;18.898840;19.665943;12.000000;17.729347;18.000000;16.935484;14.719099;18.749966;18.429363;17.097492;16.057636;16.190180;15.521739;18.731342;19.031219;18.349688;16.949902;12.000000;16.392036;15.000000;12.000000;20.406219;20.571430;16.699694;17.894999;19.024389;21.000000;16.764706;19.169523;18.900000;21.000000;19.714285;18.000000;25.695652;24.096775;21.203773;24.272728;21.631580;23.764179;22.267607;22.230770;26.097343;24.473686;25.705896;26.869566;25.114285;24.891891;26.459019;26.351353;26.818233;24.130434;30.001472;22.146912;20.728119;27.954546;27.000000;23.842106;18.000000;24.373539;24.883204;24.857143;25.114285;27.428574;22.582127;24.605953;25.135134;23.037737;27.324326;26.730885;27.328579;26.680305;21.000000;18.000000;21.000000;25.285715;27.000000;21.000000;33.982666;25.956522;29.000000;40.933334;32.615383;35.723076;33.558140;36.750000;34.986942;34.779663;40.680107;35.754707;36.292683;36.352928;33.636368;30.008474;35.142853;30.472652;36.396252;42.000000;30.465908;34.045013;39.360001;30.484200;32.000000;30.972960;30.967741;39.600002;33.795025;32.821480;36.599998;39.931034;36.874660;36.000000;53.571350;42.000000;50.774506;44.880001;52.956520;42.000000;53.647057;36.000000;38.000000;49.771729;47.510204;36.000000;37.199997;41.384220;49.000000;72.000000;72.000000;72.000000;72.000000;72.000000;72.000000;72.000000;72.000000;72.000000;72.000000;72.000000;72.000000;],171
../images/KITTI/2011_09_26/image_00/data/0000000002.png,282,2741,185.396900,74.211500,[13.073662;11.457831;11.417911;11.357143;11.125000;12.355932;11.873240;8.400000;10.799999;11.963856;15.971429;12.319149;12.935484;12.579323;8.400000;11.938776;8.400000;8.400000;8.400000;14.436205;10.600000;12.223881;14.549999;11.754099;12.647058;12.652174;13.200001;14.666666;12.468750;11.217392;12.083333;11.050000;12.647058;13.439024;12.507692;13.645874;12.954546;10.767267;15.285715;12.310345;11.680000;14.952755;10.894737;12.103449;13.391753;12.808384;11.461538;11.222222;13.133333;11.312500;8.400000;11.242424;18.000000;13.577319;12.304348;10.222222;11.625000;10.500000;8.400000;11.721899;12.982063;11.200000;10.285714;11.051282;12.692942;8.400000;9.461538;12.793102;13.000000;16.935484;13.160120;10.148936;11.366197;13.051601;13.676029;13.034483;13.380585;11.282978;11.084745;12.599999;13.400000;11.837838;11.700001;11.823529;12.818182;12.239618;13.254545;13.400000;11.487804;13.969910;10.726027;14.052631;13.398241;12.000000;12.525919;12.226416;12.408648;12.169811;12.814558;11.666666;12.552151;10.346939;12.977529;12.729984;13.636364;12.424940;13.772648;14.773584;12.088236;11.736435;13.969697;10.692308;11.444445;13.934580;13.840183;11.068965;11.923077;15.679245;11.040000;12.059355;14.333333;13.259003;14.781818;14.445725;15.331756;12.875000;9.947369;11.142857;12.272727;10.601093;12.891892;13.588236;13.216885;12.750916;11.526316;12.424456;12.176471;18.063829;16.714285;16.090908;13.879274;12.000000;16.488194;19.058825;17.117645;18.400002;20.175579;18.000000;15.818181;20.121971;20.115738;17.828499;17.437500;17.650791;18.882353;17.101614;18.031754;15.000000;16.333334;17.955235;12.764603;16.920000;15.105655;18.175182;12.000000;17.400000;22.125000;16.741936;18.230768;14.049028;13.205025;22.662214;14.786376;19.900000;16.941059;19.570318;15.872726;20.020407;28.714285;22.009748;26.023254;25.209679;26.209942;25.483881;26.887852;20.788235;18.000000;24.554005;25.554375;21.545454;27.104347;27.703449;24.771429;23.946018;29.347267;28.965219;26.734755;23.666666;29.217390;27.643108;27.349098;21.586956;26.491524;21.562500;19.397093;22.830509;18.000000;21.900002;28.500000;26.076923;26.906250;29.104549;24.545454;22.096054;30.000000;28.132076;29.739120;26.087372;24.375000;27.000000;26.255075;30.692307;29.571426;33.157894;35.954197;43.542877;32.105972;35.351353;38.718815;33.461536;36.206894;36.491802;38.972702;36.000000;35.684208;34.079292;34.586018;30.974728;37.862072;34.645161;34.748531;30.222502;35.910450;31.710884;34.376385;30.620689;31.953489;33.841671;32.874809;27.928696;41.625000;35.066666;36.199997;39.801228;53.842106;36.000000;52.431759;40.735237;50.852455;36.000000;46.199997;55.943665;47.806450;38.509773;53.127274;50.666668;36.000000;42.161411;36.000000;36.000000;36.000000;42.580643;48.000000;72.000000;72.000000;72.000000;72.000000;72.000000;72.000000;72.000000;72.000000;72.000000;],176
../images/KITTI/2011_09_26/image_00/data/0000000003.png,277,2735,200.006100,68.398500,[11.599999;11.571428;12.020134;14.181498;12.046154;12.066666;12.224999;13.351883;14.756351;11.190476;12.000000;8.400000;12.525001;10.308270;10.680000;8.400000;15.620199;11.715534;12.000000;13.084745;13.145454;12.840000;11.975610;10.350000;11.402185;13.368422;10.587347;12.428572;12.938118;10.241379;12.757167;14.655695;11.631578;10.600000;10.813953;12.083333;11.526535;14.838547;11.550819;12.130436;13.337349;10.621621;12.000000;12.965904;8.400000;11.454545;18.000000;9.590164;10.846153;11.500000;12.407407;12.295082;10.320000;14.789473;14.250000;14.838531;12.136396;11.100000;11.186916;10.909091;11.875000;11.437500;11.834356;13.680000;10.000000;12.315790;13.237659;17.189751;11.192915;8.400000;10.024390;13.242826;15.631579;18.000000;17.840631;13.645161;11.958904;13.299212;12.022387;11.615385;11.135593;11.905302;9.571428;11.440678;12.564472;14.058824;11.571428;13.500000;11.377358;12.538153;12.055197;9.620689;13.897900;14.787127;11.591569;8.400000;12.684211;12.750000;12.400000;11.000000;12.733334;13.162162;12.041485;14.409837;11.712328;13.978724;12.852583;13.422789;12.113924;12.236553;13.500000;14.462069;10.961538;13.956522;12.482142;12.125000;13.016365;14.379310;13.064516;11.901098;12.480000;13.714287;12.272727;13.584721;14.585087;8.400000;14.543478;14.016394;10.600000;13.648012;16.500000;14.225805;11.311417;13.153847;10.941176;11.000000;12.283020;12.564357;12.970588;9.382978;12.381818;12.181965;11.896552;16.956522;12.000000;19.310917;15.868801;15.190430;15.846191;19.500000;15.105724;18.677418;19.578928;15.719999;20.153610;18.455982;16.928572;12.000000;16.252878;12.000000;20.166668;15.521739;18.073170;18.830776;17.666666;17.700001;18.523579;20.341478;12.000000;17.520000;16.500000;17.495188;18.000000;18.981308;15.605221;16.389225;18.692307;24.000000;23.243591;23.515450;19.866068;15.386518;16.826088;17.977568;21.900002;28.171875;26.411766;24.056602;25.399998;18.000000;18.000000;18.000000;23.371723;23.636635;25.500000;27.127369;25.524590;21.339622;28.111942;18.000000;30.418499;27.331463;21.402985;21.336435;18.000000;20.454546;36.000000;36.000000;28.255205;26.750000;23.340313;18.000000;18.000000;18.000000;29.289474;18.282648;27.696768;33.153938;18.000000;28.199999;27.491804;23.647058;30.375000;29.967560;27.701082;27.722893;21.562500;24.000000;34.799999;40.756325;34.645161;24.000000;34.547371;33.991173;39.898476;33.851852;35.368420;38.357143;34.651394;30.909090;29.367512;35.565220;31.333334;34.933868;35.292641;34.496666;37.066666;35.078953;36.521740;30.738461;30.650303;31.989048;32.123692;30.000000;33.000000;32.229805;33.428570;45.950348;42.642857;36.000000;51.059933;47.814266;36.000000;50.830185;49.034485;52.741936;51.000000;53.121952;53.414635;36.000000;51.729733;72.000000;72.000000;72.000000;72.000000;72.000000;72.000000;],157
../images/KITTI/2011_09_26/image_00/data/0000000004.png,297,2757,164.816600,68.197500,[12.000000;11.547171;13.965517;11.129032;14.091399;11.964705;11.642857;11.746479;14.216002;11.225806;12.440000;8.400000;12.827587;11.496350;12.306122;9.260870;13.636364;11.470589;8.400000;11.250000;12.391305;15.000000;18.000000;12.500000;12.500000;11.428572;11.949152;13.545454;12.400000;10.142857;11.618181;10.323529;11.342857;11.542373;12.884394;8.700001;12.810811;11.204820;14.500000;11.192307;11.635077;12.714005;12.654136;11.275862;12.136364;12.168540;12.970588;12.130436;11.645162;11.931297;12.245902;10.260586;12.904761;11.364964;11.282608;12.029135;15.952518;14.400001;9.558140;13.229509;12.363081;8.400000;11.606915;11.189204;14.066668;13.285713;10.304348;13.578947;10.500000;12.574468;12.352942;13.843372;14.455127;12.333334;12.800001;14.600000;10.473684;12.104959;11.941176;13.411764;12.264706;11.888888;10.950001;13.207123;11.669961;13.388166;14.142145;12.262027;13.000000;12.085714;11.888888;13.328766;14.362906;10.794872;10.848837;10.854546;12.028711;11.650001;12.599999;11.042553;12.108435;12.367347;13.437500;13.489796;12.885714;12.200000;13.520548;12.355932;12.913044;12.599999;11.707682;14.238596;14.181925;13.710745;13.892307;13.251026;12.437683;12.567567;12.000000;11.875230;16.636940;14.883495;12.187500;14.080378;14.229511;12.470252;8.800000;13.909090;14.379310;11.335238;12.155865;12.677419;10.285714;11.400000;12.381818;8.714285;12.446809;12.085714;8.400000;18.882353;18.333336;19.754717;18.272728;19.434784;16.024754;15.637499;18.599998;16.846123;17.904438;16.906702;19.121487;18.599998;20.035967;19.285713;15.000000;18.286457;17.819279;15.411352;17.700001;21.000000;19.363237;19.049999;24.000000;23.072262;21.000000;20.289465;17.454546;24.000000;14.125910;15.375000;23.584183;24.000000;18.568855;19.571428;17.270271;16.775051;17.914286;18.532215;22.933912;23.117645;19.689140;19.909092;18.451807;19.000000;16.875000;24.000000;25.153845;19.544992;31.349998;28.878395;27.251637;25.430769;27.158974;21.000000;24.268471;23.430510;25.927364;18.000000;18.715740;25.368931;26.342644;22.960407;26.727272;25.514191;26.538464;24.257919;25.528637;26.142857;18.000000;25.644489;30.456135;28.016712;27.611309;28.838734;27.337170;25.792202;18.000000;24.176472;24.056602;24.142555;28.725609;18.000000;23.541695;25.588234;28.090908;23.000000;36.000000;25.560568;18.000000;22.200001;24.000000;26.142857;34.199997;29.328358;28.384615;38.021580;36.058281;36.500000;42.000000;36.398132;40.872410;34.121212;41.243881;38.400002;40.153847;30.360312;34.799999;37.781284;38.875000;32.769230;36.222225;34.457142;35.685661;31.136290;36.540276;37.304249;37.714287;36.876404;35.803329;33.176472;31.363638;31.037037;31.956522;37.764706;33.856129;24.000000;41.555553;30.000000;43.800003;50.509087;36.000000;52.642376;42.472019;51.614807;36.000000;50.639999;53.020409;55.199997;55.186050;54.659340;36.000000;48.059593;36.000000;54.708984;72.000000;72.000000;72.000000;72.000000;72.000000;72.000000;72.000000;72.000000;72.000000;72.000000;72.000000;72.000000;72.000000;],176
../images/KITTI/2011_09_26/image_00/data/0000000005.png,279,2695,192.868100,67.367000,[12.183674;12.384616;13.569759;12.352942;10.753846;13.718493;17.684210;11.400000;14.086956;11.500000;9.187500;13.258064;13.531466;11.756757;12.666667;12.758242;12.962263;13.426229;10.822784;11.594595;11.736842;13.666666;13.073376;12.263159;9.422535;11.415484;10.107693;12.599999;8.400000;13.529020;14.093584;12.528276;11.343750;11.909091;12.714286;12.550000;13.216217;13.894737;11.857142;10.259259;12.463918;11.556793;13.064516;18.000000;10.043478;12.360000;8.400000;14.250000;8.400000;11.000000;12.071428;11.873950;14.285714;12.304348;11.608696;8.400000;10.968750;11.863636;13.851063;11.281668;12.866667;11.213593;12.379912;10.538462;9.244343;11.571428;11.123894;13.038462;13.000000;17.250000;9.387097;10.793814;14.126442;10.024390;11.705883;14.828571;12.237617;9.300335;12.760000;14.333333;12.627907;12.625000;12.223844;13.090910;13.658205;12.687518;13.311823;9.592102;12.902180;10.928572;10.885715;11.861610;8.400000;11.896552;11.914286;13.615385;10.250000;11.277897;14.345455;11.559999;11.666506;13.158415;12.172414;14.571875;14.233080;13.814077;11.448980;12.737705;13.243902;11.000000;12.288131;13.707691;13.000000;13.646147;11.874047;15.937500;12.375000;14.480000;10.968750;10.886471;13.694611;13.432724;10.384616;14.700001;14.857143;13.512623;12.069767;11.714285;13.125000;11.750000;11.457831;12.722222;11.269390;17.526314;17.434782;17.971991;20.625000;17.904438;17.350508;18.767284;17.352942;16.254543;16.125000;18.490910;19.255459;17.478260;19.394960;16.650002;16.500000;18.388235;15.771855;15.000000;17.876032;21.784279;20.988811;16.805984;16.104982;21.000000;12.000000;19.602440;20.410912;18.378757;15.521739;15.841704;17.615383;17.086956;19.636364;24.000000;15.038975;24.000000;14.350189;16.384615;17.210526;18.360001;18.348837;17.357143;20.274466;24.375000;24.799999;23.869564;24.502069;26.400002;18.000000;29.652500;24.183674;27.196720;25.282528;24.157894;23.549564;26.275860;18.000000;26.571426;26.625000;29.407726;24.976631;25.090908;36.000000;27.116505;28.996864;23.432434;27.000000;24.428574;26.666668;30.000000;26.657143;28.739437;26.538464;18.000000;23.899628;28.714285;28.606213;26.629688;28.517548;26.318180;26.142857;23.250000;28.800001;28.887640;27.181763;21.719999;30.000000;38.362671;36.168011;48.000000;48.000000;38.258919;40.666664;31.918125;34.188679;37.199997;42.000000;36.487656;46.732166;37.846153;32.684212;31.654982;30.000000;32.918964;40.363640;35.886791;31.089334;37.199997;29.515068;33.437546;24.000000;36.315788;40.000000;32.000000;36.000000;44.209496;44.652790;52.653801;53.006435;72.000000;53.825813;36.000000;54.102757;53.622017;54.387119;53.294117;54.600002;48.324326;58.301888;48.992752;45.176472;70.285713;52.199997;72.000000;72.000000;72.000000;72.000000;72.000000;72.000000;72.000000;72.000000;72.000000;72.000000;72.000000;72.000000;],174
../images/KITTI/2011_09_26/image_00/data/0000000006.png,289,2715,205.132000,109.552200,[11.545454;13.936590;11.734178;11.734178;18.000000;14.068966;8.400000;11.142857;12.833333;11.765625;12.900001;14.497858;11.718750;12.900001;8.400000;9.631578;10.188940;14.664719;12.285715;11.280000;12.315790;12.088236;11.612903;13.031250;9.000000;11.906250;13.883843;12.461538;12.000000;16.681164;9.545455;12.183674;9.666667;13.500000;9.206896;12.000000;8.481482;12.685715;9.776471;12.584415;11.450499;11.896552;13.378378;12.377778;11.914446;11.358621;8.400000;8.400000;13.736843;11.265306;11.677686;10.981651;11.423077;13.459459;11.926562;12.272727;11.705883;11.710844;11.751092;8.400000;11.959459;10.454546;8.742859;12.529412;11.181818;10.371428;13.838835;12.800001;14.571428;8.400000;15.000000;11.692098;13.192284;13.127658;11.533334;12.735849;12.585121;10.764706;13.799999;12.473684;11.382298;13.049999;14.247665;11.262295;14.214231;13.555353;10.875000;11.093023;12.242283;12.666667;12.642858;14.250000;11.729092;9.501733;13.737429;12.301098;13.125000;10.034483;11.095238;11.631016;12.836065;14.553801;14.000000;12.574923;13.416000;11.863636;13.145499;11.790697;11.884616;13.000000;11.366197;13.105263;11.938246;12.656805;13.472727;14.039999;13.420395;14.586207;12.599999;12.627907;15.935781;15.195122;14.571428;11.521739;12.085714;13.927896;14.558008;14.546219;12.028092;12.394032;11.842105;11.478261;10.250000;12.800001;10.846153;12.724138;9.400001;12.411764;12.576162;11.000000;12.284211;11.482759;13.444445;18.857143;19.548389;18.333336;20.853271;16.026253;19.165031;18.696001;17.338984;15.964287;18.463413;15.517241;16.842720;18.500000;18.400002;18.375000;17.522728;18.073433;15.184650;20.806452;12.000000;18.698875;18.000000;18.193548;20.333332;20.372932;16.569298;19.295446;17.900501;24.000000;20.747681;14.726403;20.142857;16.764706;17.228571;12.000000;18.000000;18.018011;15.793957;19.200001;12.000000;18.244675;16.366224;16.199999;16.846153;19.653666;19.071411;19.125154;36.000000;27.468826;24.000000;24.056602;18.088408;29.483856;22.945946;18.000000;23.316832;25.500000;25.320000;24.366249;27.311687;26.863636;27.075771;26.478241;23.511627;36.000000;27.181818;29.476757;24.829788;26.157238;22.125000;18.000000;18.000000;18.000000;18.000000;22.125000;26.104145;26.067924;28.772728;30.106560;27.067070;28.071426;23.647058;26.269547;27.750000;25.736841;33.857143;27.075970;37.596329;36.394905;40.939415;43.075768;37.142860;38.446884;41.040001;31.584908;35.027031;31.436203;33.870968;38.599998;34.500000;35.882675;36.976746;37.117229;34.333500;37.245285;35.580627;30.666668;33.545456;32.832806;37.272728;34.424854;35.032257;33.912437;30.727764;32.517483;32.307693;28.184654;33.666668;36.127659;36.612244;35.538460;36.000000;52.285713;51.951221;42.900002;52.156769;52.188683;54.011112;53.593220;47.634781;56.399998;60.000000;45.130432;51.096512;52.615387;72.000000;72.000000;72.000000;72.000000;72.000000;72.000000;72.000000;72.000000;72.000000;72.000000;72.000000;],188
../images/KITTI/2011_09_26/image_00/data/0000000007.png,272,2628,172.980900,70.562000,[13.625000;10.565218;11.578512;13.384066;12.058825;13.655156;14.630743;11.969697;11.000000;12.517241;10.414286;11.820000;8.400000;13.627513;11.678572;11.806452;12.947369;11.823529;13.408163;12.090909;12.512195;15.000000;11.545454;9.305084;12.797468;14.650486;12.411764;12.545454;8.400000;12.103449;12.898306;12.000000;9.725275;8.400000;10.575758;10.000000;11.897696;12.863287;11.599999;12.591549;13.559094;11.599999;10.411764;10.978022;14.321739;14.404716;13.408163;11.226805;13.588236;11.660100;12.887323;11.352942;8.400000;11.476191;14.600000;11.062500;11.960526;8.400000;12.987342;13.333334;15.000000;12.148038;18.000000;11.516129;14.160000;14.204473;11.250000;15.000000;12.371655;18.000000;11.687500;13.153847;11.727273;12.958054;13.392262;13.251904;11.752941;14.764706;13.434783;13.285713;12.831106;13.097561;11.290909;14.301687;8.723077;11.307693;12.250000;13.615385;12.201922;11.414213;13.907463;12.882353;12.545454;11.485714;11.109890;12.677419;13.736843;14.764706;11.598256;14.023650;14.048780;12.846153;12.120000;12.714869;12.035294;12.631579;11.379311;13.057373;12.625000;12.917098;13.357525;13.848932;12.566022;13.645161;16.250000;14.843138;11.808510;11.730397;12.375000;14.191156;13.840336;14.129032;13.037371;16.347086;13.847567;14.760000;11.125000;11.136705;12.846153;13.000000;12.771429;10.894737;9.750000;12.442472;12.000000;18.870419;16.263159;12.000000;16.913536;18.183674;15.000000;17.430378;18.238094;17.647058;20.080544;17.294117;15.310556;19.000000;17.287409;18.419355;17.630136;15.712481;19.666666;18.362398;18.870968;12.745929;17.000000;18.000000;15.473684;20.318968;16.788074;16.464911;17.512394;18.633804;18.000000;16.799999;20.513042;20.689655;16.604700;16.503849;15.857142;17.769230;18.870968;17.812500;16.839668;22.183746;20.463860;28.530613;23.250000;27.750000;26.927746;23.268908;25.181276;19.221426;24.551022;28.000000;26.910446;24.456001;28.603563;26.750000;27.406780;29.270271;30.219513;27.122845;30.346066;18.000000;18.000000;18.000000;24.599998;26.052631;25.153845;25.561672;28.753847;24.650414;22.598854;18.000000;24.789474;26.147850;31.565273;26.622522;23.506573;26.468353;25.000000;23.423077;25.408165;25.875000;31.090908;39.448856;34.673683;34.586288;26.470589;39.022537;30.459715;34.351646;36.120670;35.946251;37.550560;40.023891;39.000000;33.535713;36.126816;35.874245;36.337906;30.000000;30.976902;37.894737;35.239758;34.000000;24.000000;30.451881;31.043478;36.720001;32.581303;31.712852;35.560974;34.799999;36.000000;48.146454;52.660500;55.263161;50.526329;51.921387;52.009037;54.722565;55.102558;54.600002;46.153847;59.608482;49.199997;50.359142;72.000000;72.000000;72.000000;72.000000;72.000000;72.000000;72.000000;72.000000;72.000000;72.000000;72.000000;72.000000;],173
../images/KITTI/2011_09_26/image_00/data/0000000008.png,266,2639,180.124600,75.471200,[10.571428;10.946243;11.876712;15.000000;13.817354;14.311861;11.722222;12.130436;15.624804;12.085714;12.666667;10.395349;11.941936;8.400000;12.980198;8.400000;9.800000;12.176471;12.931034;12.000000;10.953488;13.308672;10.909091;10.938461;11.962026;12.103449;11.660783;11.413793;14.527473;12.656250;12.230768;15.461538;9.100000;13.378378;11.072727;12.230768;12.444395;13.797543;13.950001;12.682758;12.000000;11.705883;14.571428;11.545454;14.027723;13.434783;10.960000;12.453238;13.000000;16.137415;11.848996;13.983051;11.417476;14.571428;11.235440;12.053572;14.050871;13.790724;13.545454;9.521739;11.806452;14.777777;14.162790;14.250000;11.569828;13.208956;12.123287;10.953488;12.506495;11.444445;13.965517;12.405405;12.368422;13.312500;14.036236;10.889764;11.421053;12.144354;12.299999;12.540983;13.702702;11.921739;14.026248;14.379310;12.750000;12.000000;11.358974;13.227273;12.218809;12.599999;12.919355;11.162791;14.886792;13.180645;13.615385;12.802817;13.089309;11.909091;13.746145;15.433111;13.427675;12.421059;12.854304;14.314285;13.933333;14.363637;14.358080;13.054054;13.578947;11.448980;17.111942;15.000000;12.923078;13.000000;13.521980;14.102735;16.671350;14.274916;14.920284;14.106231;11.423077;13.565217;14.217392;11.727273;12.565218;11.480000;12.461538;12.483871;12.345133;15.000000;12.000000;12.000000;14.520126;15.757233;17.099998;19.184868;17.967375;16.113914;17.808510;19.000000;18.780567;16.862068;18.364132;18.402061;18.066668;17.639999;16.644444;15.599699;12.000000;16.215189;18.764999;15.049582;15.000000;23.225378;19.000000;20.150799;16.026566;19.339323;23.837238;18.353022;17.823528;16.434696;14.439133;18.666668;16.391474;20.547169;21.615383;19.130383;24.000000;14.934572;16.333334;12.000000;20.820402;18.914597;28.137932;23.400002;28.466980;25.615385;24.673470;23.104700;28.218750;22.900000;22.706127;20.081436;19.887104;26.752445;25.500000;27.528780;31.384615;28.985935;18.000000;24.136852;18.000000;23.181818;26.507463;23.700001;18.000000;29.341465;25.404255;18.000000;33.226357;28.136244;34.788315;26.062500;29.701109;25.764706;26.947826;32.739128;28.499662;25.838711;27.979591;35.257141;35.791805;40.160980;32.150581;41.619720;30.275213;34.956520;35.821526;32.482758;35.500629;37.951805;38.781769;32.446247;36.104156;34.298508;35.196861;34.714287;36.403034;34.412521;27.833145;48.000000;32.000000;31.549255;32.766075;35.142853;36.000000;46.831661;52.321678;49.763145;36.000000;49.534882;48.985073;36.000000;52.366413;52.285713;55.763763;54.631577;53.755104;48.705883;52.500000;55.034485;65.551506;50.388348;45.483871;72.000000;72.000000;72.000000;72.000000;72.000000;72.000000;72.000000;72.000000;72.000000;72.000000;72.000000;],171
../images/KITTI/2011_09_26/image_00/data/0000000009.png,254,2672,170.291500,109.224400,[8.400000;9.923077;11.957747;14.507462;13.077349;12.287672;9.480000;12.218533;12.333334;14.266739;11.271845;8.926829;12.699999;9.380953;13.491803;12.000000;18.000000;14.121950;14.463415;13.666666;12.254238;12.109879;12.000000;8.400000;10.565218;11.869565;12.285658;13.435682;12.342281;13.592735;8.548744;11.930233;10.702703;11.783038;13.576266;13.202897;12.654136;13.785681;13.161291;12.187500;10.000000;12.637794;11.949720;8.400000;10.880597;14.194030;12.512195;11.571795;11.507463;14.478261;12.000000;11.811846;12.333334;18.000000;12.870968;12.325301;13.956522;14.294117;14.812992;8.400000;11.905263;14.011995;13.169905;11.842105;13.230183;11.957747;12.219512;11.869565;13.860809;11.437500;8.400000;14.121950;12.356270;13.664707;9.876625;11.250000;12.071631;12.576922;14.571428;12.559999;13.799999;13.588236;12.063829;9.813258;13.581818;12.952941;8.828571;13.666666;10.941176;14.333333;13.162527;13.372882;14.000000;12.677419;13.301985;12.321428;14.259222;11.672175;11.367270;13.140846;12.603062;13.400848;13.100055;12.750000;12.000000;12.777778;18.000000;12.481482;12.599999;10.263158;15.684645;12.692307;14.264749;14.783784;11.444445;11.275862;8.400000;13.320000;10.423729;10.312500;12.500000;11.337663;12.500000;12.000000;12.000000;16.672132;18.531414;17.032196;17.709679;15.000000;17.769230;15.857122;19.251442;18.714287;18.135136;19.285713;17.444445;18.102039;19.377428;15.580645;18.119249;17.714020;18.658077;18.789474;20.130743;13.544668;19.105263;17.538462;20.423683;17.444445;19.388037;16.868851;17.700001;17.919378;19.482265;19.392786;16.814489;17.250000;15.882354;17.117645;19.384617;13.853045;15.900001;16.090908;27.750000;27.801846;21.827587;27.141178;21.000000;25.790789;19.730715;18.000000;24.702126;25.320000;28.326633;23.859814;23.232357;26.801702;26.814537;18.000000;31.267887;27.825823;29.513515;18.000000;20.464211;23.639999;31.285715;18.000000;19.879900;22.723396;33.259396;29.730984;26.052631;28.312500;30.310345;28.599947;29.395187;25.500000;21.439024;18.000000;28.807108;33.901608;26.881187;38.569462;36.327271;33.901878;42.000000;31.043478;32.799999;44.000000;32.117645;35.393398;45.631775;35.745502;29.838324;35.536179;33.169811;33.310287;31.263159;37.826088;36.459949;36.467255;35.600929;37.000000;31.542904;32.257545;35.520000;32.153847;46.850716;47.806450;50.441380;51.500000;49.714287;36.000000;53.435291;53.035503;57.870972;54.000000;51.759033;52.666664;45.913643;43.674419;36.000000;52.545456;54.799999;72.000000;72.000000;72.000000;72.000000;72.000000;72.000000;72.000000;72.000000;72.000000;],184
