img,nKeypoints,nTotalKeypoints,tDetection,tDescription,sizeKeypoints,nMatches
../images/KITTI/2011_09_26/image_00/data/0000000001.png,157,1327,423.355800,437.316500,[4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;13.576450;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;22.832775;22.832775;],138
../images/KITTI/2011_09_26/image_00/data/0000000002.png,161,1311,469.145900,377.818400,[4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;6.788225;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;22.832775;22.832775;],138
../images/KITTI/2011_09_26/image_00/data/0000000003.png,155,1351,496.226000,376.280500,[4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;6.788225;6.788225;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;13.576450;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;22.832775;],133
../images/KITTI/2011_09_26/image_00/data/0000000004.png,163,1360,513.353700,487.797500,[4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;6.788225;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;22.832775;],127
../images/KITTI/2011_09_26/image_00/data/0000000005.png,164,1347,449.287200,410.888200,[4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;6.788225;6.788225;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;13.576450;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;22.832775;],129
../images/KITTI/2011_09_26/image_00/data/0000000006.png,173,1363,504.003400,463.922400,[4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;6.788225;6.788225;6.788225;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;22.832775;],146
../images/KITTI/2011_09_26/image_00/data/0000000007.png,175,1331,484.023500,414.593500,[4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;6.788225;6.788225;6.788225;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;22.832775;],147
../images/KITTI/2011_09_26/image_00/data/0000000008.png,177,1358,430.667100,497.952100,[4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;6.788225;6.788225;6.788225;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;22.832775;],151
../images/KITTI/2011_09_26/image_00/data/0000000009.png,179,1331,461.174100,415.406500,[4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;4.800000;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;5.708194;6.788225;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;8.072606;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;11.416388;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;16.145212;22.832775;22.832775;],150
